n1	n2	n3	n4	n5	n6	n7	n8	n9	n10
33.000000	67.000000	97.500000	160.000000	170.000000	185.000000	292.500000	343.600000	350.800000	416.000000
17.600000	73.000000	98.000000	153.000000	192.000000	235.400000	274.000000	359.600000	321.500000	500.000000
16.500000	53.000000	97.000000	126.800000	190.000000	268.000000	178.500000	387.000000	369.000000	491.000000
22.000000	67.000000	73.500000	164.000000	207.500000	245.000000	344.000000	359.600000	367.800000	570.000000
27.500000	72.000000	88.000000	130.000000	185.000000	206.800000	289.600000	412.000000	404.400000	499.000000
22.000000	46.000000	97.500000	121.000000	194.000000	283.000000	322.000000	375.000000	375.800000	484.000000
16.500000	48.000000	117.000000	159.000000	210.000000	268.000000	291.600000	378.600000	405.400000	486.000000
33.000000	67.000000	102.000000	148.000000	184.000000	184.000000	288.600000	435.000000	361.800000	549.000000
22.000000	55.000000	92.500000	158.000000	187.500000	246.400000	297.600000	357.600000	433.400000	469.000000
27.500000	46.000000	84.200000	143.400000	172.500000	234.400000	326.000000	315.200000	468.000000	440.000000
33.000000	46.000000	96.600000	132.000000	216.000000	285.000000	304.600000	361.600000	435.400000	560.000000
33.000000	45.200000	122.000000	128.400000	216.000000	278.000000	297.600000	357.600000	422.400000	475.000000
33.000000	60.000000	83.000000	163.000000	182.500000	263.000000	298.600000	382.600000	435.400000	513.000000
33.000000	60.000000	107.500000	131.400000	176.000000	273.000000	286.600000	354.600000	312.200000	440.000000
33.000000	60.000000	97.500000	110.000000	142.500000	296.000000	285.500000	353.600000	410.400000	464.000000
33.000000	40.000000	112.000000	138.000000	170.000000	230.400000	298.600000	368.600000	414.400000	338.000000
27.500000	67.000000	116.000000	153.000000	211.000000	273.000000	274.200000	304.200000	387.000000	444.000000
16.500000	65.000000	82.000000	126.800000	182.500000	242.400000	286.600000	359.600000	406.400000	485.000000
27.500000	63.000000	91.600000	132.000000	161.000000	184.000000	254.000000	368.600000	433.400000	501.000000
27.500000	55.000000	89.000000	104.000000	210.000000	249.000000	253.200000	338.600000	406.400000	489.000000
